source,keyword,niche,city,name,address,phone,whatsapp_number,has_whatsapp,website,rating,reviews,category,linkedin,twitter,facebook,instagram,contact_page,issues,lead_score,email,notes
Google Maps,looking for web developer,Internet marketing service,SCO 54,Solutions1313 - Website Design & Development & Digital Marketing Company in Mohali,"
Third floor, SCO 54, Sector 82, JLPL Industrial Area, Sahibzada Ajit Singh Nagar, Punjab 140308","
092160 41313",919216041313,true,http://solutions1313.com/,4.8,479,Internet marketing service,https://in.linkedin.com/in/solutions1313,https://twitter.com/Solutions1313,https://www.facebook.com/Solutions1313/,https://www.instagram.com/solutions_1313,https://solutions1313.com/contact-us/,No SSL (site not secure),12,,
Google Maps,looking for web developer,Website designer,D-151,Webdesign Discovery,"
Ground Floor, D-151, Phase-8, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160055","
094655 73673",919465573673,true,https://www.webdesigndiscovery.com/,4.8,24,Website designer,https://www.linkedin.com/in/sukhpreetseo/,,https://www.facebook.com/webdesigndiscovery/,https://www.instagram.com/webdesigndiscovery/,https://www.webdesigndiscovery.com/contact-us,Slow page load (4.7s),15,info@webdesigndiscovery.com,
Google Maps,looking for web developer,Website designer,D-151,Webdesign Discovery,"
Ground Floor, D-151, Phase-8, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160055","
094655 73673",919465573673,true,https://www.webdesigndiscovery.com/,4.8,24,Website designer,https://www.linkedin.com/in/sukhpreetseo/,,https://www.facebook.com/webdesigndiscovery/,https://www.instagram.com/webdesigndiscovery/,https://www.webdesigndiscovery.com/contact-us,Slow page load (4.7s),15,sales@webdesigndiscovery.com,
Google Maps,looking for web developer,Website designer,D-151,Webdesign Discovery,"
Ground Floor, D-151, Phase-8, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160055","
094655 73673",919465573673,true,https://www.webdesigndiscovery.com/,4.8,24,Website designer,https://www.linkedin.com/in/sukhpreetseo/,,https://www.facebook.com/webdesigndiscovery/,https://www.instagram.com/webdesigndiscovery/,https://www.webdesigndiscovery.com/contact-us,Slow page load (4.7s),15,sukhpreet@webdesigndiscovery.com,
Google Maps,looking for web developer,Website designer,Third Floor,AMR Softec,"
D-151, Third Floor, Phase-8, Industrial Area, Sahibzada Ajit Singh Nagar, Punjab 160071","
098889 40088",919888940088,true,https://www.amrsoftec.com/,4.9,27,Website designer,https://www.linkedin.com/company/amrsoftec,,https://www.facebook.com/amrsoftec.co,https://www.instagram.com/amrsoftec,https://www.amrsoftec.com/contact-us,,13,hello@amrsoftec.com,
Google Maps,looking for web developer,Website designer,Third Floor,AMR Softec,"
D-151, Third Floor, Phase-8, Industrial Area, Sahibzada Ajit Singh Nagar, Punjab 160071","
098889 40088",919888940088,true,https://www.amrsoftec.com/,4.9,27,Website designer,https://www.linkedin.com/company/amrsoftec,,https://www.facebook.com/amrsoftec.co,https://www.instagram.com/amrsoftec,https://www.amrsoftec.com/contact-us,,13,hr@amrsoftec.com,
Google Maps,looking for web developer,Website designer,Third Floor,AMR Softec,"
D-151, Third Floor, Phase-8, Industrial Area, Sahibzada Ajit Singh Nagar, Punjab 160071","
098889 40088",919888940088,true,https://www.amrsoftec.com/,4.9,27,Website designer,https://www.linkedin.com/company/amrsoftec,,https://www.facebook.com/amrsoftec.co,https://www.instagram.com/amrsoftec,https://www.amrsoftec.com/contact-us,,13,info@amrsoftec.com,
Google Maps,looking for web developer,Website designer,5,Nettizer InfoTech,"
Plot No. 209, 5, Shahi Majra, Sector 58, Sahibzada Ajit Singh Nagar, Punjab 160055","
095690 96496",919569096496,true,https://nettizerinfotech.com/,5.0,30,Website designer,https://www.linkedin.com/company/nettizerinfotech/,,https://www.facebook.com/nettizerinfotech,https://www.instagram.com/nettizerinfotech/,https://nettizerinfotech.com/contact.html#location,No clear call-to-action (CTA),15,info@nettizerinfotech.com,
Google Maps,looking for web developer,Website designer,5,Nettizer InfoTech,"
Plot No. 209, 5, Shahi Majra, Sector 58, Sahibzada Ajit Singh Nagar, Punjab 160055","
095690 96496",919569096496,true,https://nettizerinfotech.com/,5.0,30,Website designer,https://www.linkedin.com/company/nettizerinfotech/,,https://www.facebook.com/nettizerinfotech,https://www.instagram.com/nettizerinfotech/,https://nettizerinfotech.com/contact.html#location,No clear call-to-action (CTA),15,nfo@nettizerinfotech.co.uk,
Google Maps,looking for web developer,Software company,2nd Floor,Web Framez Pvt. Ltd.,"
Plot No. 209, 2nd Floor, Phase 5, Industrial Area, Sector 59, Sahibzada Ajit Singh Nagar, Punjab 160055","
098880 01269",1717977600,true,https://www.webframez.com/,4.8,113,Software company,https://www.linkedin.com/company/web-framez-pvt-ltd,https://x.com/WebframezPvtLtd,https://www.facebook.com/webframez,https://www.instagram.com/webframez_official/,https://webframez.com/contact-us/,Slow page load (11.5s),15,webframez@gmail.com,
